<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
International maritime health.|99161930361701452|16419251|16419251|
International medical case reports journal.|99157363240001452|1179142X|1179142X|
International medical journal|99158209300001452|13412051|13412051|
International microbiology : the official journal of the Spanish Society for Microbiology.|99140619290001452|11396709|11396709|
International microbiology [electronic resource] : the official journal of the Spanish Society for Microbiology.|99157327000001452|11396709|11396709|
International midwifery : journal of the International Confederation of Midwives.|99158191080001452|15603296|15603296|
International nano letters.|99157385070001452|20089295|20089295|
International neurourology journal.|99157671340001452|20934777|20934777|
International nursing review.|99157830970001452|00208132|00208132|
International ophthalmology clinics [electronic resource].|99158506270001452|00208167|00208167|
International orthopaedics [electronic resource].|99161958021201452|03412695|03412695|
International perspectives on sexual and reproductive health.|99157613820001452|19440391|19440391|
International psychogeriatrics.|99161948349401452|10416102|10416102|
International research journal of pharmacy.|99157382220001452|22308407|22308407|
International review of psychiatry.|99157830840001452|09540261|09540261|
International reviews of immunology [electronic resource].|99157830550001452|08830185|08830185|
International social work.|99158520750001452|00208728|00208728|
International surgery.|99161958021101452|00208868|00208868|
International wound journal : IWJ.|99158192610001452|17424801|17424801|
Internet interventions.|99161778059201452|22147829|22147829|
Internet journal of medical update.|99157370680001452|16940423|16940423|
Interventional cardiology clinics.|99158432140001452|22117458|22117458|
Interventional medicine &amp; applied science.|99158486320001452|20611617|20611617|
Interventional neurology.|99161958021001452|16649737|16649737|
Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences.|99157860730001452|15910199|15910199|
Intervirology [electronic resource].|99157770830001452|03005526|03005526|
Intractable &amp; rare diseases research.|99161762049501452|21863644|21863644|
Intravital.|99161832461701452|21659079|21659079|
Invertebrate neuroscience [electronic resource].|991618197001452|13542516|13542516|
InvestigaciÃ³n clÃ­nica.|99157349110001452|05355133|05355133|
InvestigaciÃ³n y educaciÃ³n en enfermerÃ­a : revista de la Facultad de EnfermerÃ­a, Universidad de Antioquia.|99157367210001452|01205307|01205307|
Investigational new drugs [electronic resource].|99158518270001452|01676997|01676997|
Investigative and clinical urology.|99161936546301452|24660493|24660493|
Investigative genetics [electronic resource].|99157211940001452|20412223|20412223|
Investigative ophthalmology &amp; visual science [electronic resource].|99157649960001452|01460404|01460404|
Investigative radiology [electronic resource].|99158506400001452|00209996|00209996|
Iranian biomedical journal.|99161958020901452|1028852X|1028852X|
Iranian journal of allergy, asthma, and immunology.|99157394460001452|17351502|17351502|
Iranian journal of basic medical sciences.|99157364100001452|20083866|20083866|
Iranian journal of biotechnology|99161863476601452|17283043|17283043|
Iranian journal of child neurology.|99157371950001452|17354668|17354668|
Iranian journal of immunology : IJI.|99157403800001452|17351383|17351383|
Iranian journal of kidney diseases : IJKD.|99157355450001452|17358582|17358582|
Iranian journal of medical sciences.|99157374050001452|02530716|02530716|
Iranian journal of microbiology.|99157391920001452|20083289|20083289|
Iranian journal of neonatology.|99159430260001452|22517510|22517510|
Iranian journal of neurology.|99157401760001452|2008384X|2008384X|
Iranian journal of otorhinolaryngology.|99159430250001452|22517251|22517251|
Iranian journal of parasitology [electronic resource].|99157430090001452|17357020|17357020|
Iranian journal of pediatrics.|99157409410001452|20082142|20082142|
Iranian journal of pharmaceutical research : IJPR.|99157363340001452|17350328|17350328|
Iranian journal of pharmacology &amp; therapeutics : IJPT : a publication of the Razi Institute for Drug Research of IUMS.|99157212540001452|17352657|17352657|
Iranian journal of psychiatry and behavioral sciences.|99157409320001452|17358639|17358639|
Iranian journal of psychiatry.|99157393240001452|17354587|17354587|
Iranian journal of radiology : a quarterly journal published by the Iranian Radiological Society.|99157394370001452|17351065|17351065|
Irish journal of medical science.|99158517270001452|00211265|00211265|
Irish journal of psychological medicine [electronic resource].|99161948357901452|07909667|07909667|
Irish medical journal [electronic resource].|99157348500001452|03323102|03323102|
Isis [electronic resource].|99158297900001452|00211753|00211753|
Islets [electronic resource].|99157640760001452|19382014|19382014|
Isokinetics and exercise science [electronic resource].|99158224120001452|09593020|09593020|
Issue brief [electronic resource].|99157466180001452|15586847|15586847|
Issues in comprehensive pediatric nursing.|99157828390001452|01460862|01460862|
Issues in law &amp; medicine.|99157829190001452|87568160|87568160|
Issues in mental health nursing.|99157828460001452|01612840|01612840|
Italian journal of anatomy and embryology = Archivio italiano di anatomia ed embriologia.|99157603560001452|11226714|11226714|
Italian journal of medicine.|99161901654101452|18779344|18779344|
JAAD case reports.|99161871076501452|23525126|23525126|
JAAPA : official journal of the American Academy of Physician Assistants.|99161941796401452|15471896|15471896|
JACC. Cardiovascular imaging.|99157421280001452|1936878X|1936878X|
JACC. Cardiovascular interventions.|99157421300001452|19368798|19368798|
JACC. Heart failure.|99161871092401452|22131779|22131779|
JACC: Clinical Electrophysiology|99161859574801452|2405500X|2405500X|
JAK-STAT.|99160789960001452|21623988|21623988|
JAMA : the journal of the American Medical Association.|99158627260001452|00987484|00987484|
JAMA dermatology.|99160064170001452|21686068|21686068|
JAMA facial plastic surgery.|99160064160001452|21686076|21686076|
JAMA internal medicine.|99160064150001452|21686106|21686106|
JAMA neurology.|99160064140001452|21686149|21686149|
JAMA oncology.|99161951259701452|23742437|23742437|
JAMA ophthalmology.|99160064130001452|21686165|21686165|
JAMA otolaryngology-- head &amp; neck surgery.|99160064120001452|21686181|21686181|
JAMA pediatrics.|99160064110001452|21686203|21686203|
JAMA psychiatry.|99160064100001452|2168622X|2168622X|
JAMA surgery.|99160064090001452|21686254|21686254|
JAMIA: journal of the American Medical Informatics Association|99158440460001452|10675027|10675027|
JBJS case connector.|99161898911601452|21603251|21603251|
JBJS essential surgical techniques.|99161921212201452|21602204|21602204|
JBJS reviews.|99161898911001452|23299185|23299185|
JEMDSA : the journal of endocrinology, metabolism and diabetes of South Africa (JEMDSA) : the official journal of the Society of Endocrinology, Metabolism and Diabetes of South Africa.|99157616460001452|16089677|16089677|
JK Science : Journal of Medical Education &amp; Research|99157358650001452|09721177|09721177|
JK practitioner : a journal of current clinical medicine &amp; surgery.|99157510780001452|09718834|09718834|
JMM case reports.|991617766601452|20533721|20533721|
JPEN, Journal of parenteral and enteral nutrition.|99158502600001452|01486071|01486071|
JPMA. The journal of the Pakistan Medical Association.|99157514850001452|00309982|00309982|
JRSM open.|991618820101452|20542704|20542704|
JSLS / Society of Laparoendoscopic Surgeons.|99158798610001452|10868089|10868089|
Jahresbericht / Schweizerische Akademie der Medizinischen Wissenschaften.|99157766410001452|10161562|10161562|
Japan Medical Association journal : JMAJ.|99157444930001452|13468650|13468650|
Japan journal of nursing science : JJNS.|99158191200001452|17427932|17427932|
Japan=hospitals : the journal of the Japan Hospital Association.|99161762342801452|09101004|09101004|
Japanese journal of clinical oncology [electronic resource] : JJCO.|99157503710001452|03682811|03682811|
Japanese journal of infectious diseases.|99157331550001452|13446304|13446304|
Japanese journal of ophthalmology.|99158448620001452|00215155|00215155|
Japanese journal of radiology.|99161966782301452|18671071|18671071|
Joint Commission journal on quality and patient safety.|99158475400001452|15537250|15537250|
Joint, bone, spine [electronic resource].|99158539730001452|1297319X|1297319X|
Jornal Brasileiro de nefrologia : [Ê¹orgÃ£o oficial de Sociedade Brasileira de Nefrologia].|99157388140001452|01012800|01012800|
Jornal Brasileiro de psiquiatria.|99157354570001452|00472085|00472085|
Jornal brasileiro de pneumologia.|99157344500001452|18063713|18063713|
Jornal de pediatria.|99157349630001452|00217557|00217557|
Jornal vascular brasileiro.|99157355870001452|16775449|16775449|
Journal / Canadian Dental Association.|99161958486701452|07098936|07098936|
Journal de mycologie meÌ&#x81;dicale [electronic resource].|99161967508701452|11565233|11565233|
Journal de pÃ©diatrie et de puÃ©riculture.|99161967522101452|09877983|09877983|
Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG.|99158526120001452|16100379|16100379|
Journal for healthcare quality : official publication of the National Association for Healthcare Quality.|99160939630001452|10622551|10622551|
Journal for nurses in professional development.|99161941797801452|21699798|21699798|
Journal for specialists in pediatric nursing : JSPN.|99157827820001452|15390136|15390136|
Journal for vascular ultrasound : JVU.|99161966784001452|15443167|15443167|
Journal fÃ¼r Hypertonie.|99157343620001452|10282327|10282327|
Journal fÃ¼r Kardiologie.|99157344300001452|10240098|10240098|
Journal fÃ¼r Mineralstoffwechsel : Zeitschrift fÃ¼r Physiologie, Pathophysiologie und Klinik des Mineralstoffwechsels.|99157344320001452|10237763|10237763|
Journal fÃ¼r Neurologie, Neurochirurgie und Psychiatrie.|99157344790001452|16081587|16081587|
Journal fÃ¼r Reproduktionsmedizin und Endokrinologie.|99157345180001452|18102107|18102107|
Journal fÃ¼r Urologie und UrogynÃ¤kologie : Zeitschrift fÃ¼r Urologie und UrogynÃ¤kologie in Klinik und Praxis.|99157344270001452|10236090|10236090|
Journal fÃ¼r gastroenterologische und hepatologische Erkrankungen.|99157345250001452|17286263|17286263|
Journal fÃ¼r gynÃ¤kologische Endokrinologie.|99157377860001452|19976690|19976690|
Journal fÃ¼r klinische Endokrinologie und Stoffwechsel.|99157385060001452|19987773|19987773|
Journal of AAPOS [electronic resource].|99158433960001452|10918531|10918531|
Journal of AHIMA / American Health Information Management Association.|99161966795101452|10605487|10605487|
Journal of AOAC International.|99157858940001452|10603271|10603271|
Journal of Acute Disease|99161824516001452|22216189|22216189|
Journal of Alzheimer's disease [electronic resource].|99157828430001452|13872877|13872877|
Journal of American college health [e-journal].|99157827760001452|07448481|07448481|
Journal of Asian natural products research [electronic resource].|99157828490001452|10286020|10286020|
Journal of Ayub Medical College, Abbottabad : JAMC.|99157369000001452|10259589|10259589|
Journal of Ayurveda and integrative medicine.|99157389400001452|09759476|09759476|
Journal of Cancer Policy.|99161967372701452|22135383|22135383|
Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship.|99161941799901452|07432550|07432550|
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases|99161967475501452|24055794|24055794|
Journal of Clinical and Translational Endocrinology: Case Reports|99161871089101452|22146245|22146245|
Journal of Crohn's and colitis supplements [electronic resource].|99161970729901452|18739954|18739954|
Journal of Crohn's and colitis.|99161887613001452|18739946|18739946|
Journal of Digestive Endoscopy|99161952043001452|09765042|09765042|
Journal of ECT [electronic resource].|99158507490001452|10950680|10950680|
Journal of Echocardiography|99157666460001452|13490222|13490222|
Journal of Experimental &amp; Clinical Medicine|99161768453801452|13094483|13094483|
Journal of Food and Drug Analysis/#/Journal of Food and Drug Analysis [[Yao Wu Shih P'In Fen Hsi]]|99157859660001452|10219498|10219498|
Journal of Ginseng Research(êµ¬ ê³ ë ¤ì&#x9d;¸ì‚¼í•™íšŒì§€) [[Journal of Ginseng Research(êµ¬ ê³ ë ¤ì&#x9d;¸ì‚¼í•™íšŒì§€)]]|99158798850001452|12268453|12268453|
Journal of IMAB.|99157414910001452|1312773X|1312773X|
Journal of Indian Association for Child and Adolescent Mental Health.|99157344480001452|09731342|09731342|
Journal of Indian Society of Pedodontics &amp; Preventive Dentistry.|99157348020001452|09704388|09704388|
Journal of Korean Academy of Nursing|99157671640001452|20053673|20053673|
Journal of Korean Neurosurgical Society.|99157671080001452|20053711|20053711|
Journal of Korean medical science.|99157332810001452|10118934|10118934|
Journal of Krishna Institute of Medical Sciences University [electronic resource].|99157402180001452|22314261|22314261|
Journal of Nara Medical Association|99157244030001452|13450069|13450069|
Journal of Nepal Paediatric Society.|99157365740001452|19907974|19907974|
Journal of Nippon Medical School = Nihon Ika Daigaku zasshi.|99157356770001452|13454676|13454676|
Journal of Pakistan Association of Dermatologists : JPAD.|99157624710001452|15609014|15609014|
Journal of Patient Safety &amp; Infection Control|99161967647401452|2214207X|2214207X|
Journal of Pharmaceutical Negative Results|99157636850001452|09769234|09769234|
Journal of Pharmacognosy and Phytotherapy|99161787161301452|21412502|21412502|
Journal of Postgraduate Medical Institute.|99157348370001452|10135472|10135472|
Journal of Prenatal Diagnosis and Therapy|99157397470001452|09761756|09761756|
Journal of RNAi and gene silencing : an international journal of RNA and gene targeting research.|99157343310001452|17470854|17470854|
Journal of Radiation Research and Applied Sciences|99161267990001452|16878507|16878507|
Journal of Reproduction &amp; Infertility|99160270820001452|22285482|22285482|
Journal of Reproductive Health and Medicine|99161967552301452|2214420X|2214420X|
Journal of Taibah University medical sciences.|99161967625701452|16583612|16583612|
Journal of Tehran University Heart Center|99161778057501452|20082371|20082371|
Journal of WOCN : wound, ostomy, and continence nursing.|99158506000001452|10715754|10715754|
Journal of X-ray science and technology [electronic resource].|99157823930001452|08953996|08953996|
Journal of Zhejiang University. B. Science.|991618709601452|16731581|16731581|
Journal of abnormal child psychology [electronic resource].|99158201820001452|00910627|00910627|
Journal of abnormal psychology.|99158253230001452|0021843X|0021843X|
Journal of acquired immune deficiency syndromes [electronic resource] : JAIDS.|99158505930001452|15254135|15254135|
Journal of acquired immune deficiency syndromes and human retrovirology.|99158506260001452|10779450|10779450|
Journal of acupuncture and meridian studies.|99161967508301452|20052901|20052901|
Journal of acute care physical therapy [electronic resource].|99158209110001452|21588686|21588686|
Journal of acute medicine.|99161930260101452|22115587|22115587|
Journal of addiction medicine.|99161941802401452|19320620|19320620|
Journal of addictions nursing.|99158193550001452|10884602|10884602|
Journal of addictive diseases [electronic resource] : the official journal of ASAM, American Society of Addiction Medicine.|99158511940001452|10550887|10550887|
Journal of adolescence [electronic resource].|99158434750001452|01401971|01401971|
Journal of adolescent and young adult oncology. [electronic resource].|99157751420001452|21565333|21565333|
Journal of adolescent health [electronic resource].|99158432810001452|1054139X|1054139X|
Journal of advanced nursing.|99157828890001452|03092402|03092402|
Journal of aerosol medicine and pulmonary drug delivery [electronic resource].|99157770110001452|19412711|19412711|
Journal of aerosol science [electronic resource].|99161967484201452|00218502|00218502|
Journal of affective disorders [electronic resource].|99158432110001452|01650327|01650327|
Journal of aging &amp; social policy.|99158512360001452|08959420|08959420|
Journal of aging and health [electronic resource].|99158519300001452|08982643|08982643|
Journal of aging research.|99157390620001452|20902204|20902204|
Journal of aging studies [electronic resource].|99157875680001452|08904065|08904065|
Journal of agricultural and food chemistry.|99158484810001452|00218561|00218561|
Journal of agricultural safety and health.|99158421050001452|10747583|10747583|
Journal of allergy.|99157380830001452|16879783|16879783|
Journal of allied health.|99158475650001452|00907421|00907421|
Journal of alternative and complementary medicine [electronic resource].|99157770260001452|10755535|10755535|
Journal of ambulatory care management.|99158192250001452|01489917|01489917|
Journal of amino acids.|99157371060001452|20900104|20900104|
Journal of anaesthesiology clinical pharmacology [electronic resource].|99157358320001452|09709185|09709185|
Journal of analytical methods in chemistry.|99157410380001452|20908865|20908865|
Journal of analytical toxicology [electronic resource].|99157751600001452|01464760|01464760|
Journal of anatomy.|99157780060001452|00218782|00218782|
Journal of anesthesia history.|99161810544301452|23524529|23524529|
Journal of anesthesia.|99157829370001452|09138668|09138668|
Journal of animal breeding and genetics [electronic resource] = Zeitschrift fuÌˆr TierzuÌˆchtung und ZuÌˆchtungsbiologie.|99157827900001452|09312668|09312668|
Journal of animal physiology and animal nutrition [electronic resource].|99157827910001452|09312439|09312439|
Journal of animal science [electronic resource].|99157649380001452|00218812|00218812|
Journal of anthropological sciences = Rivista di antropologia : JASS / Istituto italiano di antropologia.|99157619230001452|18274765|18274765|
Journal of antibiotics.|99157663800001452|00218820|00218820|
Journal of antimicrobial chemotherapy [electronic resource].|99157502550001452|03057453|03057453|
Journal of anxiety disorders.|99158434190001452|08876185|08876185|
Journal of applied animal welfare science [electronic resource].|99157829240001452|10888705|10888705|
Journal of applied behavior analysis.|99157579120001452|00218855|00218855|
Journal of applied biomaterials &amp; functional materials.|99159348030001452|22808000|22808000|
Journal of applied biomedicine.|99157368500001452|1214021X|1214021X|
Journal of applied clinical medical physics [electronic resource] / American College of Medical Physics.|99157348150001452|15269914|15269914|
Journal of applied genetics.|99157612890001452|12341983|12341983|
Journal of applied gerontology [electronic resource].|99158501300001452|07334648|07334648|
Journal of applied microbiology [electronic resource].|99157780110001452|13645072|13645072|
Journal of applied oral science.|99157347760001452|16787757|16787757|
Journal of applied physiology.|99157488920001452|87507587|87507587|
Journal of applied psychology.|99157883020001452|00219010|00219010|
Journal of applied research in intellectual disabilities : JARID.|99157828700001452|13602322|13602322|
Journal of applied toxicology [electronic resource].|99158524360001452|0260437X|0260437X|
Journal of aquatic animal health [electronic resource].|99158511680001452|08997659|08997659|
Journal of arthropod-borne diseases.|99157419740001452|23221984|23221984|
Journal of arthroscopy and joint surgery.|99161859575201452|22149635|22149635|
Journal of assisted reproduction and genetics.|99158517300001452|10580468|10580468|
Journal of asthma &amp; allergy educators.|99158518910001452|21501297|21501297|
Journal of asthma and allergy.|99157363230001452|11786965|11786965|
Journal of asthma.|99157829160001452|02770903|02770903|
Journal of atherosclerosis and thrombosis.|99157341420001452|13403478|13403478|
Journal of athletic training [electronic resource].|99157348400001452|10626050|10626050|
Journal of atmospheric chemistry [electronic resource].|99157829570001452|01677764|01677764|
Journal of atrial fibrillation [electronic resource].|99157368870001452|19416911|19416911|
Journal of attention disorders.|99158519400001452|10870547|10870547|
Journal of audiological medicine.|99157828960001452|09637133|09637133|
Journal of autism and developmental disorders.|99157827710001452|01623257|01623257|
Journal of autoimmunity [electronic resource].|99158435580001452|08968411|08968411|
Journal of avian medicine and surgery [electronic resource].|99157857860001452|10826742|10826742|
Journal of back and musculoskeletal rehabilitation [electronic resource].|99157827630001452|10538127|10538127|
Journal of bacteriology [e-journal] : JB.|99157650430001452|00219193|00219193|
Journal of bacteriology and virology : JBV.|99157671800001452|15982467|15982467|
Journal of basic and clinical pharmacy [electronic resource].|99157386690001452|09760105|09760105|
Journal of basic microbiology [electronic resource].|99158525920001452|0233111X|0233111X|
Journal of behavior therapy and experimental psychiatry [electronic resource].|99158436460001452|00057916|00057916|
Journal of behavioral health services &amp; research.|99157828840001452|10943412|10943412|
Journal of behavioral medicine.|99157828420001452|01607715|01607715|
Journal of bioactive and compatible polymers [electronic resource].|99158520190001452|08839115|08839115|
Journal of biochemical and molecular toxicology.|99158526050001452|10956670|10956670|
Journal of bioenergetics and biomembranes [electronic resource].|99158517390001452|0145479X|0145479X|
Journal of bioinformatics and computational biology.|99157828610001452|02197200|02197200|
Journal of biological chemistry.|99157650450001452|00219258|00219258|
Journal of biological dynamics [electronic resource].|99157614000001452|17513758|17513758|
Journal of biological engineering.|99157230420001452|17541611|17541611|
Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry.|99157828980001452|09498257|09498257|
Journal of biological physics [electronic resource].|99157828810001452|00920606|00920606|
Journal of biological regulators and homeostatic agents.|99157469720001452|0393974X|0393974X|
Journal of biological rhythms.|99158501050001452|07487304|07487304|
Journal of biological sciences : JBS.|99157344330001452|17273048|17273048|
Journal of biomarkers.|99157649260001452|20908660|20908660|
Journal of biomaterials applications [electronic resource].|99158519420001452|08853282|08853282|
Journal of biomaterials science. Polymer edition.|99157828670001452|09205063|09205063|
Journal of biomechanical engineering.|99158483780001452|01480731|01480731|
Journal of biomechanics.|99158432220001452|00219290|00219290|
Journal of biomedical informatics [electronic resource].|99161967402501452|15320464|15320464|
Journal of biomedical materials research. Part A.|99158524070001452|15493296|15493296|
Journal of biomedical materials research. Part B, Applied biomaterials.|99158526190001452|15524973|15524973|
Journal of biomedical optics [electronic resource].|99157770460001452|10833668|10833668|
Journal of biomedical physics &amp; engineering.|99157419560001452|22517200|22517200|
Journal of biomedical research [electronic resource].|99157411880001452|16748301|16748301|
Journal of biomedical science [electronic resource].|99157230170001452|10217770|10217770|
Journal of biomedical semantics [electronic resource].|99157211190001452|20411480|20411480|
Journal of biomolecular NMR [electronic resource].|99158517190001452|09252738|09252738|
Journal of biomolecular screening [electronic resource].|99158519000001452|10870571|10870571|
Journal of biomolecular techniques : the official journal of the Association of Biomolecular Resource Facilities.|99157500100001452|15240215|15240215|
Journal of biopharmaceutical statistics [electronic resource].|99157828940001452|10543406|10543406|
Journal of biophotonics.|99158524970001452|1864063X|1864063X|
Journal of bioscience and bioengineering [electronic resource].|99161967487501452|13891723|13891723|
Journal of biosciences [electronic resource].|99157331310001452|02505991|02505991|
Journal of biosocial science.|99161948352001452|00219320|00219320|
Journal of biotechnology [electronic resource].|99161967637901452|01681656|01681656|
Journal of bodywork and movement therapies [electronic resource].|99158432610001452|13608592|13608592|
Journal of bone and joint surgery. American volume.|99157770620001452|00219355|00219355|
Journal of bone and mineral metabolism [electronic resource] : JBMM.|99158929770001452|09148779|09148779|
Journal of bone and mineral research [electronic resource] : JBMR.|99157751320001452|08840431|08840431|
Journal of bone oncology.|99161824516101452|22121374|22121374|
Journal of breast cancer.|99157671200001452|17386756|17386756|
Journal of breath research.|99161863241601452|17527155|17527155|
Journal of bronchology &amp; interventional pulmonology.|99161941797601452|19446586|19446586|
Journal of burn care &amp; research : official journal of the American Burn Association.|99161941801301452|1559047X|1559047X|
Journal of business continuity &amp; emergency planning.|99157906340001452|17499216|17499216|
Journal of cachexia, sarcopenia and muscle.|99158798620001452|21905991|21905991|
Journal of caffeine research [electronic resource].|99157751430001452|21565783|21565783|
Journal of cancer education.|99158517610001452|08858195|08858195|
Journal of cancer epidemiology [electronic resource].|99157363870001452|16878558|16878558|
Journal of cancer research and clinical oncology.|99158517120001452|01715216|01715216|
Journal of cancer research and practice|99161935361901452|23113006|23113006|
Journal of cancer research and therapeutics.|99157212940001452|09731482|09731482|
Journal of cancer research.|99161784258701452|23567201|23567201|
Journal of cancer survivorship.|99161966781301452|19322259|19322259|
Journal of cancer.|99157372500001452|18379664|18379664|
Journal of carcinogenesis.|99157211590001452|14773163|14773163|
Journal of cardiac failure [electronic resource].|99158433140001452|10719164|10719164|
Journal of cardiac surgery [electronic resource].|99157828140001452|08860440|08860440|
Journal of cardiology cases.|99157440880001452|18785409|18785409|
Journal of cardiology.|99157421030001452|09145087|09145087|
Journal of cardiopulmonary rehabilitation and prevention [electronic resource].|99161941803401452|19327501|19327501|
Journal of cardiothoracic and vascular anesthesia [electronic resource].|99158434150001452|10530770|10530770|
Journal of cardiovascular and thoracic research.|99157408030001452|20085117|20085117|
Journal of cardiovascular computed tomography.|99158434450001452|19345925|19345925|
Journal of cardiovascular disease research.|99157392690001452|09753583|09753583|
Journal of cardiovascular electrophysiology.|99157829060001452|10453873|10453873|
Journal of cardiovascular magnetic resonance [electronic resource] : official journal of the Society of Cardiovascular Magnetic Resonance.|99157229910001452|10976647|10976647|
Journal of cardiovascular medicine.|99161941800001452|15582027|15582027|
Journal of cardiovascular nursing [electronic resource].|99158193050001452|08894655|08894655|
Journal of cardiovascular pharmacology [electronic resource].|99158507630001452|01602446|01602446|
Journal of cardiovascular pharmacology and therapeutics [electronic resource].|99158520270001452|10742484|10742484|
Journal of cardiovascular ultrasound|99157671520001452|19754612|19754612|
Journal of cataract and refractive surgery.|99158434510001452|08863350|08863350|
Journal of cell communication and signaling : JCCS.|99161763654501452|18739601|18739601|
Journal of cell death.|99157379530001452|11790660|11790660|
Journal of cell science.|99157650220001452|00219533|00219533|
Journal of cellular and molecular medicine.|99157413810001452|15821838|15821838|
Journal of cellular biochemistry.|99158525860001452|07302312|07302312|
Journal of cellular physiology.|99158526020001452|00219541|00219541|
Journal of cerebral blood flow &amp; metabolism [electronic resource].|99157719680001452|0271678X|0271678X|
Journal of chemical biology.|99157489210001452|18646158|18646158|
Journal of chemical ecology [electronic resource].|99158516910001452|00980331|00980331|
Journal of chemical information and modeling.|99158484820001452|15499596|15499596|
Journal of chemical neuroanatomy.|99161967518001452|08910618|08910618|
Journal of chemical physics.|99157770390001452|00219606|00219606|
Journal of chemical technology and biotechnology [electronic resource].|99158525790001452|02682575|02682575|
Journal of chemical theory and computation : JCTC.|99158484860001452|15499618|15499618|
Journal of chemotherapy.|99161950127401452|1120009X|1120009X|
Journal of child &amp; adolescent trauma [electronic resource].|99157843630001452|19361521|19361521|
Journal of child and adolescent mental health.|99157844740001452|17280583|17280583|
Journal of child and adolescent psychiatric nursing.|99157827880001452|10736077|10736077|
Journal of child and adolescent psychopharmacology [electronic resource].|99157751730001452|10445463|10445463|
Journal of child health care : for professionals working with children in the hospital and community. [electronic resource].|99158520030001452|13674935|13674935|
Journal of child language.|99161948351501452|03050009|03050009|
Journal of child neurology [electronic resource].|99157828210001452|08830738|08830738|
Journal of child psychology and psychiatry [electronic resource].|99157827770001452|00219630|00219630|
Journal of child psychotherapy [electronic resource].|99157828580001452|0075417X|0075417X|
Journal of child sexual abuse.|99158192560001452|10538712|10538712|
Journal of chiropractic humanities.|99158798660001452|15563499|15563499|
Journal of chromatographic science.|99157636670001452|00219665|00219665|
Journal of chromatography. A.|99161967526801452|00219673|00219673|
Journal of chromatography. B. Analytical technologies in the biomedical and life sciences.|99161967406401452|15700232|15700232|
Journal of clinical &amp; experimental research.|99157634190001452|2320348X|2320348X|
Journal of clinical &amp; translational endocrinology.|99161778059601452|22146237|22146237|
Journal of clinical and analytical medicine.|99157408310001452|13090720|13090720|
Journal of clinical and diagnostic research : JCDR.|99157365360001452|2249782X|2249782X|
Journal of clinical and experimental hematopathology : JCEH.|99157366880001452|13464280|13464280|
Journal of clinical and experimental hepatology.|99158432230001452|09736883|09736883|
Journal of clinical and experimental neuropsychology [electronic resource].|99157829590001452|13803395|13803395|
Journal of clinical anesthesia.|99158436530001452|09528180|09528180|
Journal of clinical apheresis [electronic resource].|99158524470001452|07332459|07332459|
Journal of clinical biochemistry and nutrition [electronic resource].|99157666750001452|09120009|09120009|
Journal of clinical child and adolescent psychology.|99157828000001452|15374416|15374416|
Journal of clinical densitometry [electronic resource].|99158436480001452|10946950|10946950|
Journal of clinical engineering.|99158507300001452|03638855|03638855|
Journal of clinical epidemiology [electronic resource].|99158431940001452|08954356|08954356|
Journal of clinical gastroenterology [electronic resource].|99158506460001452|01920790|01920790|
Journal of clinical gerontology &amp; geriatrics [electronic resource].|99161871091601452|22108335|22108335|
Journal of clinical immunology.|99158906580001452|02719142|02719142|
Journal of clinical laboratory analysis.|99158524370001452|08878013|08878013|
Journal of clinical lipidology.|99158434910001452|19332874|19332874|
Journal of clinical medicine.|99160270540001452|20770383|20770383|
Journal of clinical microbiology [e-journal] : JCM.|99157650640001452|00951137|00951137|
Journal of clinical monitoring and computing.|99158515320001452|13871307|13871307|
Journal of clinical neonatology.|99157687290001452|22494847|22494847|
Journal of clinical neuromuscular disease [electronic resource].|99158507510001452|15220443|15220443|
Journal of clinical neurophysiology [electronic resource].|99158507080001452|07360258|07360258|
Journal of clinical neuroscience [electronic resource].|99158433340001452|09675868|09675868|
Journal of clinical nursing.|99157828520001452|09621067|09621067|
Journal of clinical oncology [electronic resource] : official journal of the American Society of Clinical Oncology.|99157751460001452|0732183X|0732183X|
Journal of clinical orthopaedics and trauma.|99158540510001452|09765662|09765662|
Journal of clinical pathology [electronic resource].|99157228720001452|00219746|00219746|
Journal of clinical periodontology.|99158525070001452|03036979|03036979|
Journal of clinical pharmacy and therapeutics.|99157829600001452|02694727|02694727|
Journal of clinical psychology [electronic resource].|99157829290001452|00219762|00219762|
Journal of clinical psychology in medical settings [electronic resource].|99157844360001452|10689583|10689583|
Journal of clinical psychopharmacology [electronic resource].|99158507360001452|02710749|02710749|
Journal of clinical research in pediatric endocrinology.|99157857330001452|13085727|13085727|
Journal of clinical rheumatology [electronic resource] : JCR.|99158506490001452|10761608|10761608|
Journal of clinical sleep medicine.|99161857353501452|15509389|15509389|
Journal of clinical ultrasound [electronic resource].|99158524540001452|00912751|00912751|
Journal of clinical virology [electronic resource].|99158432390001452|13866532|13866532|
Journal of cognition and development : official journal of the Cognitive Development Society.|99157828990001452|15248372|15248372|
Journal of cognitive neuroscience [electronic resource].|99157828200001452|0898929X|0898929X|
Journal of cognitive psychology.|99157875120001452|20445911|20445911|
