Title	MMSID	ISSN	ISSN1	ISSN		
HUGO journal.	99157229170001452	1877-6558	1877-6566	1877-6558		
Huisarts en Wetenschap.	 	0018-7070	1876-5912	0018-7070		
Human and experimental toxicology.	99157813310001452	0960-3271	1477-0903	0960-3271		
Human antibodies.	99157812680001452	1093-2607	1875-869X	1093-2607		
Human biology.	99157859140001452	0018-7143	1534-6617	0018-7143		
Human brain Mapping.	99158529190001452	1065-9471	1097-0193	1065-9471		
Human cell.	99158528150001452	0914-7470	1749-0774	0914-7470		
Human development.	99157751880001452	0018-716X	1423-0054	0018-716X		
Human factors.	99158269240001452	0018-7208	1547-8181	0018-7208		
Human fertility: journal of the British Fertility Society.	99157814470001452	1464-7273	1742-8149	1464-7273		
Human gene therapy.	99157751610001452	1043-0342	1557-7422	1043-0342		
Human gene therapy clinical development.	99161150790001452	2324-8637	2324-8645	2324-8637		
Human gene therapy methods.	99158424080001452	1946-6536	1946-6544	1946-6536		
Human genetics.	99158517250001452	0340-6717	1432-1203	0340-6717		
Human genome Variation.	99161783160501452		2054-345X			
Human genomics.	99157230160001452	1473-9542	1479-7364	1473-9542		
Human genomics and proteomics.	99157362830001452		1757-4242			
Human heredity.	99157771010001452	0001-5652	1423-0062	0001-5652		
Human immunology.	99158433940001452	0198-8859	1879-1166	0198-8859		
Human molecular genetics.	99157649860001452	0964-6906	1460-2083	0964-6906		
Human movement.	99120066080001452	1732-3991	1899-1955	1732-3991		
Human Movement science.	99161967499801452	0167-9457	1872-7646	0167-9457		
Human Mutation.	99158529110001452	1059-7794	1098-1004	1059-7794		
Human nature : an interdisciplinary biosocial perspective.	99157814260001452	1045-6767	1936-4776	1045-6767		
Human pathology.	99158433090001452	0046-8177	1532-8392	0046-8177		
Human pathology: case reports.	99161787158801452		2214-3300			
Human psychopharmacology.	99157813800001452	0885-6222	1099-1077	0885-6222		
Human reproduction.	99157649940001452	0268-1161	1460-2350	0268-1161		
Human reproduction update.	99157496300001452	1355-4786	1460-2369	1355-4786		
Human resources for health.	99157229950001452		1478-4491			
Human systems management.			1875-8703			
Human vaccines and immunotherapeutics.	99157614730001452	2164-5515	2164-554X	2164-5515		
Human_ontogenetics.	99157567920001452	1863-866X	1863-9526	1863-866X		
Hybridoma.	99157751120001452	1554-0014	1557-8348	1554-0014		
Hybridoma and hybridomics.	99161989544501452	1536-8599	1557-8097	1536-8599		
Hygeia.	 	2229-3590	0975-6221	2229-3590		
Hypertension.	99157520820001452	0194-911X	1524-4563	0194-911X		
Hypertension in pregnancy: official journal of the International Society for the Study of Hypertension in Pregnancy.	99157814410001452	1064-1955	1525-6065	1064-1955		
Hypertension research.	99157666920001452	0916-9636	1348-4214	0916-9636		
IARC Monographs on the Evaluation of carcinogenic risks to humans.	99157475290001452	1017-1606		1017-1606		
IARC scientific publications.		0300-5038		0300-5038		
Iatreia.	99157367580001452	0121-0793		0121-0793		
IAVI report : newsletter on international AIDS vaccine research.	99157599880001452	1816-6253	1816-6261	1816-6253		
IC-MED international journal of intelligent computing in medical sciences and image processing.		1931-308X		1931-308X		
ICU director.	99161959530801452	1944-4516	1944-4524	1944-4516		
ICUs and nursing web journal.	99158191260001452	1791-809X	1108-7366	1791-809X		
IDCases.	99161267820001452	2214-2509		2214-2509		
Ideggyogyaszati Szemle.		0019-1442		0019-1442		
IDS practice paper.	99159764200001452	1759-8907	2040-0225	1759-8907		
IEEE ... international conference on rehabilitation Robotics : [proceedings].	 	1945-7898	1945-7901	1945-7898		
IEEE computer graphics and applications.	99161865648901452	0272-1716	1558-1756	0272-1716		
IEEE journal of biomedical and health informatics.	99161865654601452	2168-2194		2168-2194		
IEEE journal of translational engineering in health and medicine.	99158477300001452		2168-2372			
IEEE pulse.		2154-2287		2154-2287		
IEEE reviews in biomedical engineering.	99161865654401452	1937-3333	1941-1189	1937-3333		
"IEEE transactions on audio, speech, and language processing."	99161865655701452	1558-7916	1558-7924	1558-7916		
IEEE transactions on autonomous mental development.	99111484410001452	1943-0604	1943-0612	1943-0604		
IEEE transactions on biomedical circuits and systems.	99131217020001452 99161865654501452 	1932-4545	1940-9990	1932-4545		
IEEE transactions on biomedical engineering.	99161865654301452	0018-9294	1558-2531	0018-9294		
IEEE transactions on cybernetics.	99161865647601452	2168-2267	2168-2275	2168-2267		
IEEE transactions on haptics.	99161865641501452 99131635700001452	1939-1412	2329-4051	1939-1412		
IEEE transactions on image processing : a publication of the IEEE Signal Processing Society.	99161865640901452	1057-7149	1941-0042	1057-7149		
IEEE transactions on medical imaging.	99161865635801452	0278-0062	1558-254X	0278-0062		
IEEE transactions on nanobioscience.	99161865634301452	1536-1241	1558-2639	1536-1241		
IEEE transactions on neural networks and learning systems.	99161865633601452	2162-237X	2162-2388	2162-237X		
IEEE transactions on neural systems and rehabilitation engineering.	99161865633301452	1534-4320		1534-4320		
IEEE transactions on pattern analysis and machine intelligence.	99161865631601452	0162-8828	1939-3539	0162-8828		
"IEEE transactions on systems, man, and cybernetics. Part A, Systems and humans: a publication of the IEEE Systems, man, and Cybernetics Society."	99107231490001452	1083-4427	1558-2426	1083-4427		
"IEEE transactions on systems, man, and cybernetics. Part B, Cybernetics: a publication of the IEEE Systems, man, and Cybernetics Society."	99161865624101452	1083-4419	1941-0492	1083-4419		
"IEEE transactions on ultrasonics, ferroelectrics, and frequency control."	99161865623001452	0885-3010	1525-8955	0885-3010		
IEEE transactions on visualization and computer graphics.	99161865622601452	1077-2626	1941-0506	1077-2626		
IEEE/ACM transactions on computational biology and bioinformatics.	99158477590001452 99120216370001452 	1545-5963	1557-9964	1545-5963		
IET nanobiotechnology/IET.	99157831770001452 	1751-8741	1751-875X	1751-8741		
IET optoelectronics.	99157831850001452	1751-8768	1751-8776	1751-8768		
"IET science, measurement & technology."	99157832050001452	1751-8822	1751-8830	1751-8822		
IET systems biology.	99161865614401452	1751-8849		1751-8849		
Igaku butsuri : Nihon Igaku Butsuri Gakkai kikanshi = Japanese journal of medical physics : an official journal of Japan Society of medical Physics.	99157678120001452	1345-5354	2186-9634	1345-5354		
Igiene e sanit??? pubblica.		0019-1639		0019-1639		
IIE transactions on healthcare systems engineering.	 	1948-8300	1948-8319	1948-8300		
IIOAB journal.	99157389660001452	0976-3104		0976-3104		
IJC heart and vasculature.	99161804247901452	2352-9067		2352-9067		
IJC metabolic and endocrine.	99161267940001452	2214-7624		2214-7624		
Il giornale di chirurgia.	99157412480001452	0391-9005	1971-145X	0391-9005		
ILAR journal.	99157434550001452	1084-2020	1930-6180	1084-2020		
Image : the journal of nursing scholarship.	99161814040501452	0743-5150		0743-5150		
Imagen diagnostica.	 	2171-3669	2171-9705	2171-3669		
Imaging.	99157843310001452	0965-6812	1748-8818	0965-6812		
Imaging decisions.	99157830370001452	1433-3317	1617-0830	1433-3317		
Imaging in medicine.	 	1755-5191	1755-5205	1755-5191		
Immunity.	99161967419201452	1074-7613	1097-4180	1074-7613		
Immunity and Ageing.	99157230620001452		1742-4933			
"Immunity, inflammation and disease."	99161467810001452	2050-4527		2050-4527		
Immunobiology.	99158446150001452	0171-2985	1878-3279	0171-2985		
Immunogenetics.	99158906820001452	0093-7711	1432-1211	0093-7711		
Immunohematology.	99157458640001452	0894-203X		0894-203X		
Immunologic research.	99158475370001452	0257-277X	1559-0755	0257-277X		
Immunological investigations.	99157830130001452	0882-0139	1532-4311	0882-0139		
Immunological reviews.	99157830230001452	0105-2896	1600-065X	0105-2896		
Immunologiya.		0206-4952		0206-4952		
Immunology.	99157780420001452	0019-2805	1365-2567	0019-2805		
Immunology and allergy clinics of North America.	99158433470001452	0889-8561	1557-8607	0889-8561		
Immunology and cell biology.	99157564580001452	0818-9641	1440-1711	0818-9641		
Immunology letters.	99158434590001452	0165-2478	1879-0542	0165-2478		
"Immunology, endocrine and metabolic Agents in medicinal chemistry."	 	1871-5222	1875-6115	1871-5222		
Immunometabolism.			2084-6835			
Immunopharmacology and immunotoxicology.	99157830890001452	0892-3973	1532-2513	0892-3973		
ImmunoTargets and therapy.	99157874120001452		2253-1556			
Immunotechnology.	99161967384601452	1380-2933	1879-162X	1380-2933		
Immunotherapy.	99161961952401452	1750-743X	1750-7448	1750-743X		
"Impegno ospedaliero, Sezione scientifica."		0393-0394		0393-0394		
Implant dentistry.	99158506910001452	1056-6163	1538-2982	1056-6163		
Implementation science : IS.	99157211230001452		1748-5908			
Imprint.	99161783753501452	0019-3062		0019-3062		
In session: psychotherapy in practice.	99162001998501452	1077-2413	1520-6572	1077-2413		
In silico biology.	99157435430001452	1386-6338	1434-3207	1386-6338		
In Silico cell and tissue science.	99161942491501452		2196-050X			
In Silico pharmacology.	99158668870001452		2193-9616			
In vitro & molecular toxicology: a journal of basic and applied research.						
In vitro cellular & developmental biology. Animal.	99158307840001452	1071-2690	1543-706X	1071-2690		
In Vivo.	99157650520001452	0258-851X	1791-7549	0258-851X		
Indian drugs.		0019-462X		0019-462X		
Indian heart journal.	99158433770001452	0019-4832		0019-4832		
Indian journal of anaesthesia.	99157374510001452	0019-5049		0019-5049		
Indian journal of biochemistry & biophysics.	99161950646601452	0301-1208	0975-0959	0301-1208		
Indian journal of biotechnology.	 	0972-5849	0975-0967	0972-5849		
Indian journal of cancer.	99157212690001452	0019-509X	1998-4774	0019-509X		
Indian journal of chest diseases & allied sciences.		0377-9343		0377-9343		
Indian journal of clinical biochemistry.	99157614690001452	0970-1915	0974-0422	0970-1915		
Indian journal of critical care medicine.	99157212470001452	0972-5229	1998-359X	0972-5229		
Indian journal of dental research : official publication of Indian Society for Dental Research.	99157356170001452	0970-9290	1998-3603	0970-9290		
Indian journal of dermatology.	99157343410001452	0019-5154	1998-3611	0019-5154		
"Indian journal of dermatology, venereology and leprology."	99157212570001452	0378-6323	0973-3922	0378-6323		
Indian journal of endocrinology and metabolism.		2230-9500		2230-9500		
Indian journal of experimental biology.	99157376410001452	0019-5189	0975-1009	0019-5189		
Indian journal of forensic medicine and toxicology.	 	0973-9122	0973-9130	0973-9122		
Indian journal of gastroenterology.	99157601800001452	0254-8860	0975-0711	0254-8860		
Indian journal of hematology and Blood transfusion.	99161958022401452	0971-4502	0974-0449	0971-4502		
Indian journal of human genetics.	99157212550001452	0971-6866	1998-362X	0971-6866		
Indian journal of leprosy.		0254-9395		0254-9395		
Indian journal of medical and paediatric oncology.	99157380360001452	0971-5851	0975-2129	0971-5851		
Indian journal of medical ethics.	99161974754001452	0974-8466	0975-5691	0974-8466		
Indian journal of medical microbiology.	99157212500001452	0255-0857	1998-3646	0255-0857		
Indian journal of medical research.	99157345760001452	0971-5916		0971-5916		
"Indian journal of medical research, Supplement."		0367-9012		0367-9012		
Indian journal of medical sciences.	99157212610001452	0019-5359	1998-3654	0019-5359		
Indian journal of nephrology.	99157604840001452	0971-4065	1998-3662	0971-4065		
Indian journal of neurotrauma.	99157358100001452	0973-0508	2213-3739	0973-0508		
Indian journal of Novel drug delivery.		0975-5500		0975-5500		
Indian journal of nuclear medicine.	99157540560001452	0972-3919	0974-0244	0972-3919		
Indian journal of occupational and environmental medicine.	99157213050001452	0973-2284	1998-3670	0973-2284		
Indian journal of ophthalmology.	99157371380001452	0301-4738	1998-3689	0301-4738		
Indian journal of otology.	99157418050001452	0971-7749	2249-9520	0971-7749		
Indian journal of palliative care.	99157343120001452	0973-1075	1998-3735	0973-1075		
Indian journal of pathology and microbiology.	99157368830001452	0377-4929	0974-5130	0377-4929		
Indian journal of pediatrics.	99157616230001452	0019-5456	0973-7693	0019-5456		
Indian journal of pharmaceutical Education and research.		0019-5464		0019-5464		
Indian journal of pharmaceutical sciences.	99157360840001452	0250-474X	1998-3743	0250-474X		
Indian journal of pharmacology.	99157212620001452	0253-7613	1998-3751	0253-7613		
Indian journal of physiology and pharmacology.		0019-5499		0019-5499		
Indian journal of psychiatry.	99157354700001452	0019-5545	1998-3794	0019-5545		
Indian journal of public health.	99157382830001452	0019-557X		0019-557X		
Indian journal of public health research and development.	99161775159401452	0976-0245		0976-0245		
Indian journal of radiology and imaging.	 	0971-3026	1998-3808	0971-3026		
Indian journal of rheumatology.	99158435280001452	0973-3698		0973-3698		
Indian journal of Sexually transmitted diseases.	99157370370001452	0253-7184	1998-3816	0253-7184		
Indian journal of surgical oncology.	99161958022201452	0975-7651	0976-6952	0975-7651		
Indian journal of transplantation.	99161967510101452	2212-0017	2212-0025	2212-0017		
Indian journal of Tuberculosis.		0019-5707		0019-5707		
Indian journal of urology.	99157360010001452	0970-1591	1998-3824	0970-1591		
Indian pacing and Electrophysiology journal.	99157331300001452		0972-6292			
Indian pediatrics.	99157347940001452	0019-6061	0974-7559	0019-6061		
Indo global journal of pharmaceutical sciences.	99162050450301452	2249-1023		2249-1023		
Indoor air.	99157830410001452	0905-6947	1600-0668	0905-6947		
Indoor and Built environment.	99158502180001452	1420-326X	1423-0070	1420-326X		
Industrial biotechnology.	99158423830001452	1550-9087	1931-8421	1550-9087		
Industrial health.	99157360550001452	0019-8366	1880-8026	0019-8366		
Industrial pharmacy.		1741-4911		1741-4911		
Infancy.	99157811560001452	1525-0008	1532-7078	1525-0008		
Infant behavior and development.	99161967478701452	0163-6383	1934-8800	0163-6383		
Infant mental health journal.	99157829960001452	0163-9641	1097-0355	0163-9641		
Infants and young children.	99158191160001452	0896-3746	1550-5081	0896-3746		
Infectio.	99157343560001452	0123-9392		0123-9392		
Infection.	99158906810001452	0300-8126	1439-0973	0300-8126		
Infection and chemotherapy.	 	2093-2340	2092-6448	2093-2340		
Infection and drug resistance.	99157363470001452		1178-6973			
Infection and immunity.	99157649910001452	0019-9567	1098-5522	0019-9567		
Infection control and hospital epidemiology.	99158307530001452	0899-823X	1559-6834	0899-823X		
Infection Ecology and epidemiology.	99157396770001452		2000-8686			
"Infection, disease and health."		2468-0451		2468-0451		
"Infection, genetics and Evolution."	99161967539601452	1567-1348	1567-7257	1567-1348		
"Infection, Supplement."		0173-2129		0173-2129		
Infectious Agents and cancer.	99157230710001452		1750-9378			
Infectious disease clinics of North America.	99158435530001452	0891-5520	1557-9824	0891-5520		
Infectious disease reports.			2036-7449			
Infectious diseases.		2374-4235		2374-4235		
Infectious diseases and therapy.	99159695680001452	2193-8229	2193-6382	2193-8229		
Infectious diseases in clinical practice: IDCP.	99158506330001452	1056-9103	1536-9943	1056-9103		
Infectious diseases in obstetrics and gynecology.	99157360830001452	1064-7449	1098-0997	1064-7449		
Infectious diseases of Poverty.			2049-9957			
Infectious disorders - drug targets.	99162122858701452	1871-5265	1875-5852	1871-5265		
Infektoloski glasnik.		1331-2820		1331-2820		
Infezioni in medicina.	99157618080001452	1124-9390		1124-9390		
Inflammation.	99158516840001452	0360-3997	1573-2576	0360-3997		
Inflammation and allergy - Drug targets.		1871-5281		1871-5281		
Inflammation research.	99158906800001452	1023-3830	1420-908X	1023-3830		
Inflammatory Bowel disease Monitor.	99157878310001452	1466-7401		1466-7401		
Inflammatory bowel diseases.	99157792380001452	1078-0998	1536-4844	1078-0998		
Inflammopharmacology.	99157811150001452	0925-4692	1568-5608	0925-4692		
Influenza and other respiratory Viruses.	99157812110001452	1750-2640	1750-2659	1750-2640		
Influenza research and treatment.	99157395110001452	2090-1380	2090-1399	2090-1380		
Informatica.	99157830290001452	0868-4952	1822-8844	0868-4952		
Informatics for health & social care.	99157841720001452	1753-8157	1753-8165	1753-8157		
Information infrastructure and policy.	99157811950001452	1383-7605	1875-8738	1383-7605		
Information polity.	99157812280001452	1570-1255	1875-8754	1570-1255		
Information processing in medical imaging : proceedings of the ... Conference.		1011-2499		1011-2499		
Information services & use.						
Information systems journal.	99157900000000000	1350-1917	1365-2575	1350-1917		
Information technology and libraries.	99157408140001452	2163-5226	2163-5226	2163-5226		
Information technology for development.	99157830470001452	0268-1102	1554-0170	0268-1102		
"Information, knowledge, systems management."	99157830280001452	1389-1995	1875-8762	1389-1995		
Informationen aus orthodontie & kieferorthopa????®É??die.						
Inhalation toxicology.	99157811190001452	0895-8378	1091-7691	0895-8378		
Injury.	99158435470001452	0020-1383	1879-0267	0020-1383		
Injury epidemiology.	99161763339501452		2197-1714			
Injury extra.	99157439930001452		1572-3461			
Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention.	99157228840001452	1353-8047	1475-5785	1353-8047		
Inmunologia.		0213-9626		0213-9626		
Innate immunity.	99158501890001452	1753-4259	1753-4267	1753-4259		
InnovAiT.			1755-7399			
Innovations in clinical neuroscience.	99158209730001452	2158-8333	2158-8341	2158-8333		
Innovations in pharmaceutical technology.		1471-7204		1471-7204		
Innovations: technology and techniques in cardiothoracic and vascular surgery.	99161941799201452	1556-9845	1559-0879	1556-9845		
Innovative food science & emerging technologies: IFSET: the official scientific journal of the European Federation of Food Science and Technology.						
Innovative neurosurgery.	 	2193-522X	2193-5238	2193-522X		
Inorganic chemistry.	99158484910001452	0020-1669	1520-510X	0020-1669		
Inpharma weekly.	99157830030001452	1173-8324	2230-6056	1173-8324		
"Inquiry : a journal of medical care organization, provision and financing."	99158202000001452	0046-9580	1945-7243	0046-9580		
Insect biochemistry and molecular biology.	99161967514301452	0965-1748	1879-0240	0965-1748		
Insect conservation and diversity.	99157844980001452	1752-458X	1752-4598	1752-458X		
Insect molecular biology.	99157830560001452	0962-1075	1365-2583	0962-1075		
Insect science.	99157811370001452	1672-9609	1744-7917	1672-9609		
Insight.	99161966772201452	1060-135X		1060-135X		
Instructional course lectures.		0065-6895		0065-6895		
Integrated Blood pressure control.	99157379180001452		1178-7104			
Integrated environmental assessment and management.	99158440620001452	1551-3777	1551-3793	1551-3777		
Integrative and comparative biology.	99157513810001452	1540-7063	1557-7023	1540-7063		
Integrative biology: quantitative biosciences from nano to macro.	99157763430001452	1757-9694	1757-9708	1757-9694		
Integrative cancer therapies.	99158501660001452	1534-7354	1552-695X	1534-7354		
Integrative medicine.	99159694980001452	1543-993X	1945-7081	1543-993X		
Integrative medicine Insights.	99157354360001452		1177-3936			
Integrative medicine research.	99161967531801452	2213-4220	2213-4239	2213-4220		
Integrative psychological & behavioral science.	99157847150001452	1932-4502	1936-3567	1932-4502		
Integrative zoology.	99157780090001452	1749-4869	1749-4877	1749-4869		
Intellectual and developmental disabilities.	99158485300001452	1934-9491	1934-9556	1934-9491		
Intelligent data analysis: IDA.	99157830570001452	1088-467X	1571-4128	1088-467X		
Intensiv- und Notfallbehandlung.		0947-5362		0947-5362		
Intensive & critical care nursing : the official journal of the British Association of Critical Care Nurses.	99161966687301452	0964-3397	1532-4036	0964-3397		
Intensive care medicine.	99158517800001452	0342-4642	1432-1238	0342-4642		
Intensive care medicine experimental.	99160789990001452		2197-425X			
Intensivmedizin up2date/Schriftleitung Hugo Van Aken.	 Herausgeber Christoph Bode ... [et al.]					
Interaction/American Assembly for men in nursing.	99158192950001452		1066-1441			
Interactive cardiovascular and thoracic surgery.	99157345680001452	1569-9293	1569-9285	1569-9293		
Interdisciplinary neurosurgery: Advanced techniques and case management.	99161778059301452		2214-7519			
Interdisciplinary Perspectives on infectious diseases.	99157365590001452	1687-708X	1687-7098	1687-708X		
"Interdisciplinary sciences, computational life sciences."	991618218501452	1913-2751	1867-1462	1913-2751		
Interdisciplinary topics in gerontology and geriatrics.	 	2297-3508	2297-3486	2297-3508		
Interdisciplinary toxicology.	99157399240001452	1337-6853	1337-9569	1337-6853		
Interdisziplinare onkologie.	 	2226-5546	2307-0102	2226-5546		
Internal and emergency medicine.	 	1828-0447	1970-9366	1828-0447		
Internal medicine.	99157343070001452	0918-2918	1349-7235	0918-2918		
Internal medicine clinical and laboratory.		1590-9271		1590-9271		
Internal medicine journal.	99157811300001452	1444-0903	1445-5994	1444-0903		
International anesthesiology clinics.	99158506710001452	0020-5907	1537-1913	0020-5907		
International angiology.		0392-9590		0392-9590		
International Archives of allergy and immunology.	99157751230001452	1018-2438	1423-0097	1018-2438		
International archives of occupational and environmental health.	99158518230001452	0340-0131	1432-1246	0340-0131		
International Archives of otorhinolaryngology.	99157368310001452	1809-9777	1809-4864	1809-9777		
International braz j urol : official journal of the Brazilian Society of Urology.	99157347540001452	1677-5538	1677-6119	1677-5538		
International cancer conference journal.			2192-3183			
International cardiovascular research journal.	99157406470001452	2251-9130	2251-9149	2251-9130		
International clinical psychopharmacology.	99158507540001452	0268-1315	1473-5857	0268-1315		
International dental journal.	99160939790001452	0020-6539	1875-595X	0020-6539		
International drug therapy newslette.	99158506690001452	2331-2629	0020-6571	2331-2629		
International emergency nursing.	99161967477701452	1755-599X	1878-013X	1755-599X		
International endodontic journal.	99158527710001452	0143-2885	1365-2591	0143-2885		
International Eye science.		1672-5123		1672-5123		
International family planning perspectives.	99157348490001452	0190-3187	1943-4154	0190-3187		
International forum of allergy and Rhinology.	99159703580001452	2042-6976	2042-6984	2042-6976		
International forum of psychoanalysis.	99157812130001452	0803-706X	1651-2324	0803-706X		
International health.	99158446350001452	1876-3413	1876-3405	1876-3413		
International heart journal.	99157666650001452	1349-2365	1349-3299	1349-2365		
International immunology.	99157509410001452	0953-8178	1460-2377	0953-8178		
International immunopharmacology.	99161967364601452	1567-5769	1878-1705	1567-5769		
International journal for Equity in health.	99157229370001452		1475-9276			
International journal for human caring.	99158193730001452		1091-5710			
International journal for numerical methods in biomedical engineering.	99157877920001452	2040-7939	2040-7947	2040-7939		
International journal for parasitology.	99161967370201452	0020-7519	1879-0135	0020-7519		
International journal for parasitology: Drugs and drug resistance.	99157421450001452		2211-3207			
International journal for Quality in health care.	99157495400001452	1353-4505	1464-3677	1353-4505		
International journal for Vitamin and nutrition research.	 	0300-9831	1664-2821	0300-9831		
International journal of adolescent medicine and health.	 	0334-0139	2191-0278	0334-0139		
International journal of advances in pharmaceutical research.	 	2249-7226	2230-7583	2249-7226		
International journal of advances in pharmaceutical sciences.			0976-1055			
International journal of advances in rheumatology.	99157878220001452	1478-856X		1478-856X		
International journal of Africa nursing sciences.	99161778056101452	2214-1391		2214-1391		
International journal of aging & human development.		0091-4150		0091-4150		
International journal of Alzheimer's disease.	99157380570001452	2090-8024	2090-0252	2090-8024		
International journal of andrology.	99157830200001452	É?ˇ0105-6263	1365-2605	É?ˇ0105-6263		
International journal of angiology.	99157829970001452	1061-1711	1615-5939	1061-1711		
International journal of antimicrobial agents.	99158434580001452	0924-8579	1872-7913	0924-8579		
International journal of applied electromagnetics and mechanics.			0925-2096			
International journal of applied pharmaceutics.	99157640530001452	0975-7058		0975-7058		
International journal of applied psychoanalytic studies.	99157830660001452	1742-3341	1556-9187	1742-3341		
International journal of applied research in Natural products.	99157376680001452		1940-6223			
International journal of artificial intelligence in education.	99157481810001452	1560-4292	1560-4306	1560-4292		
International journal of Artificial organs.	99158422990001452	0391-3988		0391-3988		
International journal of audiology.	99158193610001452	1499-2027	1708-8186	1499-2027		
International journal of Ayurveda research.	99157371990001452	0974-7788	0974-925X	0974-7788		
International journal of behavioral development.	99157830430001452	0165-0254	1464-0651	0165-0254		
International journal of behavioral medicine.	99157812270001452	1070-5503	1532-7558	1070-5503		
International journal of behavioral nutrition and physical Activity.	99157230970001452		1479-5868			
International journal of biochemistry and cell biology.	99161967372601452	1357-2725	1878-5875	1357-2725		
International journal of biochemistry and molecular biology.	99161958022101452		2152-4114			
International journal of biological Macromolecules.	99161967463401452	0141-8130	1879-0003	0141-8130		
International journal of biological Markers.	 	0393-6155	1724-6008	0393-6155		
International journal of biological sciences.	99157344400001452		1449-2288			
International journal of biology and biomedical engineering.			1998-4510			
International journal of biomaterials.	99157363840001452	1687-8787	1687-8795	1687-8787		
International journal of biomedical engineering and technology.	 	1752-6418	1752-6426	1752-6418		
International journal of biomedical imaging.	99157359540001452	1687-4188	1687-4196	1687-4188		
International journal of biomedical nanoscience and nanotechnology.	 	1756-0799	1756-0802	1756-0799		
International journal of biomedical science.	99157370200001452	1550-9702	1555-2810	1550-9702		
International journal of biometeorology.	99158518030001452	0020-7128	1432-1254	0020-7128		
International journal of biostatistics.			1557-4679			
International journal of biotechnology.	 	0963-6048	1741-5020	0963-6048		
International journal of Bipolar disorders.	99158668850001452		2194-7511			
International journal of breast cancer.	99157383090001452	2090-3170	2090-3189	2090-3170		
International journal of Burns and trauma.	99157394300001452		2160-2026			
International journal of cancer.	99158528030001452	0020-7136	1097-0215	0020-7136		
International journal of cancer research.	99157762050001452	1811-9727	1811-9735	1811-9727		
International journal of cancer research and prevention.		1554-1134		1554-1134		
"International journal of cancer. journal international du cancer. Fundac?????ã™?a??????o Calouste Gulbenkian, International Union against Cancer & National Institutes of Health (U.S.)."						
International journal of cardiology.	99158433620001452	0167-5273	1874-1754	0167-5273		
International journal of cardiovascular imaging.	99158518240001452	1569-5794	1573-0743	1569-5794		
International journal of cardiovascular interventions.	99157811620001452	1462-8848	1471-1796	1462-8848		
International journal of cell biology.	99157363820001452	1687-8876	1687-8884	1687-8876		
International journal of chemical and analytical science.	99161967363401452		0976-1209			
International journal of chemTech research.	99161957849101452	0974-4290		0974-4290		
International journal of childbirth education.	99157576470001452	0887-8625		0887-8625		
International journal of circumpolar health.	99157372060001452	1239-9736	2242-3982	1239-9736		
International journal of clinical and experimental hypnosis.	99158513790001452	0020-7144	1744-5183	0020-7144		
International journal of clinical and experimental medicine.	99161958022001452		1940-5901			
International journal of clinical and experimental pathology.	99161958021901452		1936-2625			
International journal of clinical leadership.	99157844310001452	1757-207X	1757-2088	1757-207X		
International journal of clinical oncology.	 	1341-9625	1437-7772	1341-9625		
International journal of clinical pharmacology and therapeutics.	99161816247001452	0946-1965		0946-1965		
International journal of clinical pharmacy.	 	2210-7703	2210-7711	2210-7703		
International journal of clinical practice.	99158527340001452	1368-5031	1742-1241	1368-5031		
International journal of clinical practice. Supplement.	99162001995701452	1368-504X		1368-504X		
International journal of clinical rheumatology.	 	1758-4272	1758-4280	1758-4272		
International journal of Colorectal disease.	 	0179-1958	1432-1262	0179-1958		
International journal of computational biology and drug design.	 	1756-0756	1756-0764	1756-0756		
International journal of computer Assisted radiology and surgery.	 	1861-6410	1861-6429	1861-6410		
International journal of computerized dentistry.		1463-4201		1463-4201		
International journal of COPD.	99157362790001452	1176-9106	1178-2005	1176-9106		
International journal of cosmetic science.	99157830930001452	0142-5463	1468-2494	0142-5463		
International journal of cosmetic surgery and aesthetic dermatology.	99157811610001452	1530-8200	1557-8895	1530-8200		
International journal of Current pharmaceutical research.		0975-7066		0975-7066		
International journal of Current pharmaceutical review and research.			0976-822X			
International journal of dental hygiene.	99158191630001452	1601-5029	1601-5037	1601-5029		
International journal of dermatology.	99157811980001452	0011-9059	1365-4632	0011-9059		
International journal of developmental biology.	99157475970001452	0214-6282		0214-6282		
International journal of developmental disabilities.	99161950127701452	2047-3869	2047-3877	2047-3869		
International journal of developmental neuroscience.	99161967399601452	0736-5748	1873-474X	0736-5748		
International journal of diabetes and metabolism.	99157625550001452	1606-7754		1606-7754		
International journal of diabetes Mellitus.	99157440750001452	1877-5934	1877-5942	1877-5934		
International journal of drug delivery.			0975-0215			
International journal of drug delivery technology.			0975-4415			
International journal of drug policy.	99158435680001452	0955-3959	1873-4758	0955-3959		
International journal of Eating disorders.	99157811350001452	0276-3478	1098-108X	0276-3478		
International journal of emergency management.	 	1471-4825	1741-5071	1471-4825		
International journal of emergency medicine.	99157211430001452	1865-1372	1865-1380	1865-1372		
International journal of endocrine oncology.	 	2045-0869	2045-0877	2045-0869		
International journal of endocrinology.	99157364810001452	1687-8337	1687-8345	1687-8337		
International journal of endocrinology and metabolism.	99158437610001452	1726-913X	1726-9148	1726-913X		
International journal of environment and Pollution.	 	0957-4352	1741-5101	0957-4352		
International journal of environmental health research.	99157811120001452	0960-3123	1369-1619	0960-3123		
International journal of environmental research and public health.	99157353690001452	1661-7827	1660-4601	1661-7827		
International journal of epidemiology.	99157519620001452	0300-5771	1464-3685	0300-5771		
