Title,MMSID,ISSN,ISSN1,,
Journal of pediatric orthopaedics Part B.,99158507110001400,1060-152X,1473-5865,,
Journal of pediatric orthopedics. Part B.,99158507110001400,1060-152X,1473-5865,,
Journal of pediatric psychology.,99157650470001400,0146-8693,1465-735X,,
Journal of pediatric rehabilitation medicine.,99157875640001400,1874-5393,1875-8894,,
Journal of pediatric surgery.,99158435400001400,0022-3468,1531-5037,,
Journal of pediatric surgery case reports.,99161268190001400,,2213-5766,,
Journal of pediatric urology.,99158434560001400,1477-5131,1873-4898,,
Journal of pediatrics.,99158435420001400,0022-3476,1097-6833,,
Journal of pediatrics.,99158435420001400,0022-3476,1097-6833,,
Journal of pelvic medicine & surgery.,,,,,
Journal of pelvic surgery.,99158507600001400,1077-2847,1533-4120,,
Journal of peptide research.,99157825610001400,1397-002X,1399-3011,,
Journal of peptide science: an official publication of the European Peptide Society.,99158526610001400,1075-2617,1099-1387,,
Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses.,99161967628401400,1089-9472,1532-8473,,
Journal of perinatal & neonatal nursing.,,,,,
Journal of perinatal & neonatal nursing.,99158193800001400,0893-2190,1550-5073,,
Journal of Perinatal medicine.,99158925130001400,0300-5577,1619-3997,,
Journal of Perinatology.,99157719730001400,0743-8346,1476-5543,,
Journal of periodontal research.,99158524390001400,0022-3484,1600-0765,,
Journal of periodontology.,99158485250001400,0022-3492,1943-3670,,
Journal of perioperative practice.,99158192620001400,1750-4589,,,
Journal of personality.,99157827120001400,0022-3506,1467-6494,,
Journal of personality and social psychology.,99161762048601400,0022-3514,1939-1315,,
Journal of personality assessment.,99157827300001400,0022-3891,1532-7752,,
Journal of personality disorders.,99158468060001400,0885-579X,1943-2763,,
Journal of Personalized medicine.,99157419850001400,,2075-4426,,
Journal of pharmaceutical analysis.,99157439460001400,2095-1779,,,
Journal of pharmaceutical and allied sciences.,,1596-8499,,,
Journal of pharmaceutical and biomedical analysis.,99161967557001400,0731-7085,1873-264X,,
Journal of pharmaceutical care in pain & symptom control.,"
99161969211401452",1056-4950,2331-3471,,
Journal of pharmaceutical health care and sciences.,99161969211401400,,2055-0294,,
Journal of pharmaceutical health Services research.,99159702560001400,1759-8885,1759-8893,,
Journal of pharmaceutical Innovation., ,1872-5120,1939-8042,,
Journal of pharmaceutical investigation.,99161919092501400,2093-5552,2093-6214,,
Journal of pharmaceutical Negative results.,99157636850001400,0976-9234,2229-7723,,
Journal of pharmaceutical policy and practice.,99161778058701400,,2052-3211,,
Journal of pharmaceutical sciences.,99158526290001400,0022-3549,1520-6017,,
Journal of pharmaceutical sciences and research.,,,0975-1459,,
Journal of pharmacognosy and phytotherapy.,99161787161301400,2141-2502,,,
Journal of pharmacokinetics and pharmacodynamics.,99158514650001400,1567-567X,1573-8744,,
Journal of pharmacological and toxicological methods.,99161967397201400,1056-8719,1873-488X,,
Journal of pharmacological sciences.,99157347970001400,1347-8613,1347-8648,,
Journal of pharmacology and experimental therapeutics.,99157649790001400,0022-3565,1521-0103,,
Journal of pharmacology and pharmacotherapeutics.,99157395010001400,0976-500X,0976-5018,,
Journal of pharmacology and toxicology.,99157600570001400,1816-496X,2152-100X,,
Journal of pharmacy and bioallied sciences.,,,0975-7406,,
Journal of pharmacy and pharmaceutical sciences.,99157331460001400,,1482-1826,,
Journal of pharmacy and pharmacognosy research.,99161837433001400,0719-4250,,,
Journal of pharmacy and pharmacology.,99158525190001400,0022-3573,2042-7158,,
Journal of pharmacy of Istanbul University.,,0367-7524,,,
Journal of pharmacy practice.,99158519730001400,0897-1900,1531-1937,,
Journal of pharmacy practice and research.,99158210500001400,1445-937X,,,
Journal of pharmacy research.,99161967492801400,0097-4694,0974-6943,,
Journal of pharmacy technology., ,8755-1225,1549-4810,,
"Journal of philosophy, science & law.",99157347120001400,,1549-8549,,
Journal of photochemistry and photobiology B: Biology.,99161967494001400,1011-1344,1873-2682,,
Journal of phycology.,99157826910001400,0022-3646,1529-8817,,
Journal of physical activity & health., ,1543-3080,1543-5474,,
journal of physical chemistry letters.,99158484940001400,,1948-7185,,
Journal of physical chemistry letters.,,,1948-7185,,
Journal of physical chemistry. A.,99158485070001400,1089-5639,1520-5215,,
Journal of physical chemistry. B.,99158485110001400,1520-6106,1520-5207,,
"Journal of physical chemistry. C, Nanomaterials and interfaces.",99158484870001400,1932-7447,1932-7455,,
Journal of physical therapy.,99161966799301400,2079-0015,2079-9209,,
Journal of physician assistant education : official Journal of Physician Assistant Education Association.,99158191740001400,1941-9430,1941-9449,,
Journal of physics. Condensed matter : an Institute of Physics journal.,99158488060001400,0953-8984,1361-648X,,
Journal of physiological anthropology.,99157229100001400,1880-6791,1880-6805,,
Journal of physiological sciences : JPS.,99157664240001400,1880-6546,1880-6562,,
Journal of physiology.,99157649410001400,0022-3751,1469-7793,,
Journal of physiology.,99157649410001400,0022-3751,1469-7793,,
Journal of physiology and biochemistry., ,1138-7548,1877-8755,,
Journal of physiology and pharmacology.,99157332690001400,0867-5910,1899-1505,,
Journal of physiology Paris.,99161967536701400,0928-4257,1769-7115,,
Journal of physiotherapy.,99159080470001400,1836-9553,1836-9561,,
Journal of phytomedicine and therapeutics.,,1118-1028,,,
Journal of pineal research.,99157825670001400,0742-3098,1600-079X,,
Journal of Pioneering medical sciences.,99160270160001400,2309-7981,,,
Journal of Planar Chromatography - Modern TLC.,99161840059501400,0933-4173,1789-0993,,
Journal of plant physiology.,99158475350001400,0176-1617,1618-1328,,
Journal of plant research.,99158515820001400,0918-9440,1618-0860,,
Journal of Plastic dermatology.,,2035-0686,,,
Journal of plastic surgery and hand surgery.,99157878870001400,2000-656X,2000-6764,,
"Journal of Plastic, reconstructive and Aesthetic surgery.",99158436540001400,1748-6815,1878-0539,,
Journal of policy analysis and management : [the journal of the Association for Public Policy Analysis and Management].,99157881210001400,0276-8739,1520-6688,,
Journal of Population therapeutics and clinical pharmacology.,,1710-6222,,,
Journal of porphyrins and phthalocyanines.,99162010643701400,1088-4246,1099-1409,,
Journal of Postgraduate medical Institute.,99157348370001400,1013-5472,1811-9387,,
Journal of Postgraduate medicine.,99157212670001400,0022-3859,0972-2823,,
Journal of practical oncology.,,1001-1692,,,
Journal of pregnancy.,99157388900001400,2090-2727,2090-2735,,
Journal of prenatal diagnosis and therapy.,99157397470001400,0976-1756,0976-4054,,
Journal of prevention & intervention in the community.,99161950133601400,1085-2352,1540-7330,,
Journal of preventive medicine and hygiene.,99161932658501400,1121-2233,,,
Journal of preventive medicine and public health.,99157564240001400,1975-8375,,,
Journal of primary care & community health.,99158501540001400,2150-1319,2150-1327,,
Journal of primary health care.,99157418060001400,1172-6164,1172-6156,,
"journal of primary preventio. Canadian Research Knowledge Network, SpringerLink & MetaPress (Online service).",,,,,
Journal of primary prevention.,99158515330001400,0278-095X,1573-6547,,
Journal of professional nursing : official journal of the American Association of Colleges of Nursing.,99161967626001400,8755-7223,1532-8481,,
Journal of progressive human services.,99158514050001400,1042-8232,1540-7616,,
Journal of prosthetic dentistry.,99158435950001400,0022-3913,1097-6841,,
Journal of prosthetics and orthotics.,99157433230001400,1040-8800,1534-6331,,
Journal of prosthodontic research.,99161967488201400,1883-1958,2212-4632,,
Journal of prosthodontics : official journal of the American College of Prosthodontists.,99158526180001400,1059-941X,1532-849X,,
Journal of proteome research.,99158485030001400,1535-3893,1535-3907,,
Journal of proteomics.,99161967406101400,1874-3919,1876-7737,,
Journal of proteomics & bioinformatics.,99157631010001400,0974-276X,,,
Journal of psychiatric and mental health nursing.,99157825880001400,1351-0126,1365-2850,,
Journal of psychiatric practice.,99161941802001400,1527-4160,1538-1145,,
Journal of psychiatric research.,99158435840001400,0022-3956,1879-1379,,
Journal of psychiatry and law.,99157825110001400,0093-1853,,,
Journal of psychiatry and neuroscience.,99157347700001400,1180-4882,1488-2434,,
Journal of psychoactive drugs.,99157858460001400,0279-1072,2159-9777,,
Journal of psychohistory.,99157859940001400,0145-3378,,,
Journal of psycholinguistic research.,99158206890001400,0090-6905,1573-6555,,
Journal of psychological issues in organizational culture.,99159702550001400,2041-8418,2041-8426,,
Journal of psychology.,99157826830001400,0022-3980,1940-1019,,
Journal of psychopathology.,99157579570001400,1592-1107,,,
Journal of psychopathology and behavioral Assessment.,99158515340001400,0882-2689,1573-3505,,
Journal of psychopharmacology/British Association for Psychopharmacology.,99158502330001400,0269-8811,1461-7285,,
Journal of psychophysiology.,99158253550001400,0269-8803,2151-2124,,
Journal of psychosocial nursing and mental health services.,99158191390001400,0279-3695,,,
Journal of psychosocial oncology.,99158513740001400,0734-7332,1540-7586,,
Journal of psychosomatic obstetrics and gynecology.,99157827210001400,0167-482X,1743-8942,,
Journal of psychosomatic research.,99158435860001400,0022-3999,1879-1360,,
Journal of psychotherapy integration.,99158253200001400,1053-0479,1573-3696,,
Journal of public economic theory.,99157881540001400,1097-3923,1467-9779,,
Journal of public health.,99157650410001400,1741-3842,1741-3850,,
Journal of public health (Germany).,99158514460001400,0943-1853,1613-2238,,
Journal of public health dentistry.,99158524630001400,0022-4006,1752-7325,,
Journal of public health in Africa.,99157389490001400,2038-9922,2038-9930,,
Journal of public health management and practice : JPHMP.,99158506480001400,1078-4659,1550-5022,,
Journal of public health policy.,99157858840001400,0197-5897,1745-655X,,
Journal of public health research.,99157403990001400,2279-9028,2279-9036,,
Journal of Pure and applied microbiology.,0973-7510,0973-7510,,,
Journal of quaternary science.,99158525460001400,0267-8179,1099-1417,,
Journal of racial and ethnic health disparities., ,2197-3792,2196-8837,,
Journal of radiation oncology., ,1948-7894,1948-7908,,
Journal of radiation research.,99157242200001400,0449-3060,1349-9157,,
Journal of radiation research and applied sciences.,99161267990001400,1687-8507,,,
Journal of radioanalytical and Nuclear chemistry.,99157825120001400,0236-5731,1588-2780,,
Journal of radiological protection : official journal of the Society for Radiological Protection.,99158487870001400,0952-4746,1361-6498,,
Journal of radiology case reports.,99157366550001400,,1943-0922,,
Journal of radiology nursing.,99161967501801400,1546-0843,1555-9912,,
Journal of radiotherapy in practice.,99161948348001400,1460-3969,1467-1131,,
Journal of rapid methods and automation in microbiology.,99157827040001400,1060-3999,1745-4581,,
Journal of rationale-motive and cognitive-behavior therapy.,99158515290001400,0894-9085,1573-6563,,
"Journal of receptor, ligand and Channel research.",99157376950001400,,1178-699X,,
Journal of receptors and signal transduction research.,99157826080001400,1079-9893,1532-4281,,
Journal of reconstructive microsurgery.,99158530480001400,0743-684X,1098-8947,,
Journal of refractive surgery., ,1081-597X,1938-2391,,
Journal of registry management., ,1945-6123,1945-6131,,
Journal of rehabilitation medicine.,99157453150001400,1650-1977,1651-2081,,
Journal of rehabilitation medicine. Supplement.,99157562070001400,1650-1969,,,
Journal of rehabilitation research and development.,99157365760001400,0748-7711,1938-1352,,
Journal of religion and health.,99157826720001400,0022-4197,1573-6571,,
Journal of religious ethics.,99157825850001400,0384-9694,1467-9795,,
Journal of renal care.,99158209640001400,1755-6678,1755-6686,,
Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation.,99158433900001400,1051-2276,1532-8503,,
Journal of reports in pharmaceutical sciences.,99157413680001400,2322-1232,2322-5106,,
Journal of reproduction and contraception.,99161967560001400,1001-7844,1876-7966,,
Journal of reproduction and development.,99157201760001400,0916-8818,1348-4400,,
Journal of reproduction and infertility.,99160270820001400,2228-5482,2251-676X,,
Journal of reproductive and infant psychology.,99157825600001400,0264-6838,1469-672X,,
Journal of reproductive health and medicine.,99161967552301400,2214-420X,,,
Journal of reproductive immunology.,99158432120001400,0165-0378,1872-7603,,
Journal of reproductive medicine.,,0024-7758,,,
Journal of research in health sciences.,,1682-2765,,,
Journal of research in medical sciences.,99157342800001400,1735-1995,1735-7136,,
Journal of research in nursing: JRN.,99158501320001400,1744-9871,1744-988X,,
Journal of research in pharmacy practice.,99161932658101400,2319-9644,2279-042X,,
Journal of research in special educational needs.,99158218540001400,1471-3802,,,
Journal of research of the National Institute of Standards and Technology.,99157347980001400,,2165-7254,,
Journal of rheumatology.,99158457040001400,0315-162X,1499-2752,,
Journal of rheumatology and medical rehabilitation.,,1300-0691,,,
Journal of RNAi and gene Silencing.,99157343310001400,1747-0854,,,
Journal of robotic surgery., ,1863-2483,1863-2491,,
Journal of rural health : official Journal of American Rural Health Association and National Rural Health Care Association.,99158525530001400,0890-765X,1748-0361,,
Journal of safety research.,99161967485401400,0022-4375,1879-1247,,
Journal of SAFOG., ,0974-8938,0975-1920,,
Journal of scheduling.,99162010643101400,1094-6136,1099-1425,,
Journal of school health.,99157826550001400,0022-4391,1746-1561,,
Journal of school nursing : official publication of National Association of School Nurses.,99158193230001400,1059-8405,1546-8364,,
Journal of school psychology.,99161967643601400,0022-4405,1873-3506,,
Journal of science and medicine in sport/Sports medicine Australia.,99158436710001400,1440-2440,1878-1861,,
Journal of sensory studies.,99157826280001400,0887-8250,1745-459X,,
Journal of Separation science.,99158525060001400,1615-9306,1615-9314,,
Journal of sex & marital therapy.,99157826200001400,0092-623X,1521-0715,,
Journal of sex research.,99157826750001400,0022-4499,1559-8519,,
Journal of Sexual medicine.,99157825030001400,1743-6095,1743-6109,,
Journal of Shanghai Jiaotong University (medical science).,,1674-8115,,,
Journal of shoulder and elbow surgery/American Shoulder and Elbow Surgeons ... [et al.].,99158432650001400,1058-2746,1532-6500,,
Journal of Signal transduction.,99157386350001400,2090-1739,2090-1747,,
Journal of Skin and Stem cell.,99161942032601400,,2423-7086,,
Journal of Skin cancer.,99157383470001400,2090-2905,2090-2913,,
Journal of Sleep research.,99157780300001400,0962-1105,1365-2869,,
Journal of small animal practice.,99158526460001400,0022-4510,1748-5827,,
Journal of smooth muscle research = Nihon Heikatsukin Gakkai kikanshi.,99157261010001400,0916-8737,1884-8796,,
Journal of social issues.,99157826770001400,0022-4537,1540-4560,,
Journal of social psychology.,99157827100001400,0022-4545,1940-1183,,
Journal of social work in disability & rehabilitation., ,1536-710X,1536-7118,,
Journal of social work in end-of-life & palliative care.,99158512680001400,1552-4256,1552-4264,,
Journal of socioeconomics.,99157824820001400,1053-5357,1879-1239,,
Journal of Solid Tumors., ,1925-4067,1925-4075,,
Journal of South Carolina Medical Association., ,0038-3139,1544-4910,,
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals.,99123544320001400,1553-9768,,,
Journal of spectroscopy.,99157649130001400,2314-4920,2314-4939,,
"Journal of speech, language, and hearing research : JSLHR.",99157859240001400,1092-4388,1558-9102,,
Journal of spinal Cord medicine.,99161958018401400,1079-0268,2045-7723,,
Journal of spinal disorders.,99158507270001400,0895-0385,1531-2305,,
Journal of spinal disorders & techniques.,99161941797401400,1536-0652,1539-2465,,
Journal of sport & exercise psychology.,99158456950001400,0895-2779,1543-2904,,
Journal of sport and health science.,99157440730001400,2095-2546,2213-2961,,
Journal of sport rehabilitation., ,1056-6716,1543-3072,,
Journal of sports medicine and physical fitness.,,0022-4707,,,
Journal of sports sciences.,99158512660001400,0264-0414,1466-447X,,
Journal of Stem cells.,,1556-8539,,,
Journal of Stem cells and regenerative medicine.,99157373250001400,,0973-7154,,
Journal of Steroid biochemistry and molecular biology.,99161967612301400,0960-0760,1879-1220,,
Journal of strength and conditioning research/National Strength & Conditioning Association.,99161941796901400,1064-8011,1533-4287,,
Journal of Stroke.,99157672550001400,2287-6391,2287-6405,,
Journal of stroke and cerebrovascular diseases: the official journal of National Stroke Association.,99158433030001400,1052-3057,1532-8511,,
Journal of Structural and Functional genomics.,99157667690001400,1345-711X,1570-0267,,
Journal of Structural biology.,99161967388101400,1047-8477,1095-8657,,
Journal of studies on alcohol and drugs.,99157751930001400,1937-1888,1938-4114,,
Journal of studies on alcohol and drugs. Supplement. Rutgers Center of Alcohol Studies.,99157751950001400,1946-584X,1946-5858,,
Journal of substance abuse treatment.,99158434020001400,0740-5472,1873-6483,,
"Journal of substance misuse: for nursing, health, and social care.",99161869968901400,,1357-5007,,
Journal of substance use.,99158192980001400,1465-9891,1475-9942,,
Journal of Supportive oncology., ,1544-6794,1879-596X,,
Journal of surgical education.,99158435880001400,1931-7204,1878-7452,,
Journal of surgical oncology.,99158526590001400,0022-4790,1096-9098,,
Journal of surgical orthopaedic advances.,,1548-825X,,,
Journal of surgical radiology.,99157592580001400,2156-213X,2156-4566,,
Journal of surgical research.,99158432880001400,0022-4804,1095-8673,,
Journal of surgical research.,99158432880001400,0022-4804,1095-8673,,
Journal of surgical technique and case report.,99157687450001400,2006-8808,0976-2825,,
Journal of symplectic geometry.,99158504580001400,1527-5256,1540-2347,,
Journal of synchrotron radiation.,99157751630001400,0909-0495,1600-5775,,
Journal of Taibah University Medical Sciences.,99161967625701400,1658-3612,,,
Journal of teaching in social work.,99158513090001400,0884-1233,1540-7349,,
Journal of teaching in the addictions: official journal of the International Coalition for Addiction Studies Education (INCASE).,99161985452301400,1533-2705,1533-2713,,
Journal of Tehran University Heart Center.,99161778057501400,1735-8620,2008-2371,,
Journal of telemedicine and telecare., ,1357-633X,1758-1109,,
Journal of Tennessee Dental Association.,,0040-3385,,,
Journal of the Academy of Nutrition and Dietetics.,99158432440001400,2212-2672,,,
Journal of the Academy of Nutrition and Dietetics.,99158432440001400,2212-2672,2212-2680,,
Journal of the Air & Waste management Association.,99157824080001400,1096-2247,2162-2906,,
Journal of the American Academy of Audiology.,99158476350001400,1050-0545,2157-3107,,
Journal of the American Academy of Child and Adolescent psychiatry.,99158433200001400,0890-8567,1527-5418,,
Journal of the American Academy of dermatology.,99158434720001400,0190-9622,1097-6787,,
Journal of the American Academy of Nurse Practitioners.,99157823320001400,1041-2972,1745-7599,,
Journal of the American Animal Hospital Association., ,0587-2871,1547-3317,,
Journal of the American Association for Laboratory Animal Science.,99161958018201400,1559-6109,,,
Journal of the American Association of Nurse Practitioners. American Association of Nurse Practitioners.,99160439860001400,2327-6886,2327-6924,,
Journal of the American Audiology Society.,99161941800901400,0360-9294,,,
Journal of the American Board of Family medicine.,99157358330001400,1557-2625,1558-7118,,
Journal of the American Chemical Society.,99158485020001400,0002-7863,1520-5126,,
Journal of the American College of Cardiology.,99157440840001400,0735-1097,1558-3597,,
journal of the American College of Certified Wound Specialists.,99158435710001400,1876-4983,1876-4991,,
Journal of the American College of clinical Wound Specialists.,99158432330001400,2213-5103,,,
Journal of the American College of Nutrition.,99157649900001400,0731-5724,1541-1087,,
Journal of the American College of Radiology: JACR.,99158433930001400,1546-1440,1558-349X,,
Journal of the American College of Surgeons.,99158433170001400,1072-7515,1879-1190,,
Journal of the American Dietetic Association.,99158270080001400,0002-8223,1878-3570,,
Journal of the American Geriatrics Society.,99157824060001400,0002-8614,1532-5415,,
Journal of the American Heart Association.,99157404100001400,,2047-9980,,
Journal of the American medical Directors Association.,99158432730001400,1525-8610,1538-9375,,
Journal of the American medical Informatics Association: JAMIA. American medical Informatics Association.,99158440460001400,1067-5027,1527-974X,,
Journal of the American Mosquito Control Association.,99161837410901400,8756-971X,1943-6270,,
Journal of the American Pharmacists Association.,99161923261801400,1544-3191,1544-3450,,
Journal of the American Podiatric medical Association., ,8750-7315,1930-8264,,
Journal of the American psychiatric Nurses Association.,99158502270001400,1078-3903,1532-5725,,
Journal of the American psychoanalytic Association.,99158502640001400,0003-0651,1941-2460,,
Journal of the American Society for Information Science and Technology.,99157900040001400,1532-2882,1532-2890,,
Journal of the American Society for Information Science.,99157900630001400,0002-8231,1097-4571,,
Journal of the American Society for Mass Spectrometry.,99157441000001400,1044-0305,1879-1123,,
Journal of the American Society of Cytopathology.,99161871090801400,2213-2945,,,
Journal of the American Society of Echocardiography: official publication of the American Society of Echocardiography.,99158433570001400,0894-7317,1097-6795,,
Journal of the American Society of Hypertension.,99158436160001400,1933-1711,1878-7436,,
Journal of the American Society of Hypertension: JASH.,99158436160001400,1933-1711,1878-7436,,
Journal of the American Society of Nephrology.,99157491440001400,1046-6673,1533-3450,,
Journal of the American Veterinary medical Association., ,0003-1488,1943-569X,,
Journal of the ASEAN Federation of Endocrine Societies.,99160050950001400,0857-1074,2308-118X,,
Journal of the Association for Vascular Access.,99158209290001400,1552-8855,1557-1289,,
Journal of the California Dental Association.,99157351180001400,1043-2256,1942-4396,,
Journal of the Canadian Academy of Child and Adolescent psychiatry.,99157357470001400,1719-8429,,,
Journal of the Canadian Society of Forensic Science.,,0008-5030,,,
Journal of the Chartered Institution of Water and Environmental Management. (continued by Water and Environmental Journal).,99162009543501400,1360-4015,,,
Journal of the Chinese medical Association: JCMA.,99157449230001400,1726-4901,1728-7731,,
Journal of the College of Physicians and Surgeons Pakistan.,99157510670001400,1022-386X,1681-7168,,
Journal of the dermatology Nurses' Association.,99161941800601400,1945-760X,1945-7618,,
Journal of the Diabetic Association of India.,,0970-4035,,,
Journal of the Egyptian National Cancer Institute.,99157421480001400,1110-0362,1687-9996,,
Journal of the Egyptian Society of Parasitology.,,1110-0583,,,
Journal of the European Academy of dermatology and venereology: JEADV.,99157822690001400,0926-9959,1468-3083,,
Journal of the European Economic Association.,99157900310001400,1542-4766,1542-4774,,
Journal of the European Optical Society. Rapid publications.,99161973861601400,,1990-2573,,
Journal of the experimental analysis of behavior.,99161810030401400,0022-5002,1938-3711,,
Journal of the Formosan medical Association.,99157506630001400,0929-6646,1876-0821,,
Journal of the history of biology.,99158295200001400,0022-5010,,,
journal of the history of childhood and youth.,99161761560401400,1939-6724,1941-3599,,
Journal of the history of dentistry.,99157638640001400,1089-6287,,,
Journal of the history of ideas.,99157858930001400,0022-5037,1086-3222,,
Journal of the history of medicine and allied sciences.,99157751680001400,0022-5045,1468-4373,,
Journal of the history of the behavioral sciences.,99157824560001400,0022-5061,1520-6696,,
Journal of the history of the neurosciences.,99157822680001400,0964-704X,1744-5213,,
Journal of the Hong Kong College of Cardiology.,99162001419901400,1027-7811,,,
Journal of the ICRU.,99157856920001400,1473-6691,1742-3422,,
Journal of the Indian academy of geriatrics.,99147309730001400,0974-3405,0974-2484,,
Journal of the Indian Chemical Society.,,0019-4522,,,
Journal of the Indian medical Association.,,0019-5847,,,
Journal of the Indian Society of Pedodontics and Preventive Dentistry.,99157348020001400,0970-4388,1998-3905,,
Journal of the intensive Care Society.,,1751-1437,,,
Journal of the International Academy of Periodontology.,,1466-2094,,,
Journal of the International AIDS Society.,99157211360001400,,1758-2652,,
Journal of the International Association of Providers of AIDS Care.,99161781561901400,2325-9574,2325-9582,,
Journal of the International Neuropsychological Society : JINS.,99161948349801400,1355-6177,1469-7661,,
Journal of the International Society of Sports Nutrition.,99157230580001400,,1550-2783,,
Journal of the Irish Dental Association.,99157608190001400,0021-1133,,,
Journal of the Japan Epilepsy Society.,99157259890001400,0912-0890,1347-5509,,
Journal of the Korean medical Association.,99157671380001400,1975-8456,,,
Journal of the Liaquat University of Medical and Health Sciences.,99157397830001400,1729-0341,,,
Journal of the Malta College of Pharmacy Practice.,,1811-9514,,,
Journal of the Massachusetts Dental Society.,,0025-4800,,,
Journal of the Mechanical behavior of biomedical materials.,99161967490501400,1751-6161,1878-0180,,
Journal of the medical Association of Georgia.,,0025-7028,,,
Journal of the medical Association of Thailand.,,0125-2208,,,
Journal of the Medical Library Association : JMLA.,99157347960001400,1536-5050,1558-9439,,
Journal of the Mississippi State medical Association.,,0026-6396,,,
Journal of the National Cancer Institute.,99157650090001400,0027-8874,1460-2105,,
Journal of the National Cancer Institute - Monographs.,99157752100001400,1052-6773,1745-6614,,
Journal of the National medical Association.,99158900010001400,0027-9684,,,
Journal of the Nepal medical Association.,99157341390001400,0028-2715,,,
Journal of the neurological sciences. World Federation of Neurology.,99158436350001400,0022-510X,1878-5883,,
Journal of the New Jersey Dental Association.,,0093-7347,,,
Journal of the North American Benthological Society.,99136190940001400,1937-237X,0887-3593,,
Journal of the North Atlantic.,99158440830001400,1935-1933,1935-1984,,
"Journal of the Optical Society of America. A, Optics, image science, and vision.",99158507780001400,1084-7529,1520-8532,,
Journal of the Osaka City medical Center.,,0386-4103,,,
Journal of the Pakistan Medical Association.,99157514850001400,0030-9982,,,
Journal of the Pediatric infectious Diseases Society.,99157770030001400,2048-7193,2048-7207,,
Journal of the peripheral nervous system.,99157822880001400,1085-9489,1529-8027,,
Journal of the Royal Army medical Corps., ,0035-8665,2052-0468,,
Journal of the Royal College of Physicians of Edinburgh.,99157357130001400,1478-2715,,,
Journal of the Royal Naval medical Service.,,0035-9033,,,
Journal of the Royal Society Interface.,99157486280001400,1742-5689,1742-5662,,
Journal of the Royal Society of medicine.,99157598620001400,0141-0768,,,
"Journal of the Royal Society of medicine, Supplement.",99157823140001400,0267-5331,2047-721X,,
"Journal of the Royal Statistical Society. Series A, Statistics in society.",99157672870001400,0964-1998,1467-985X,,
"Journal of the Royal Statistical Society. Series B, Methodological. (continued by Statistical Methodology).",99158299270001400,0035-9246,,,
"Journal of the Royal Statistical Society. Series B, Statistical methodology.",99157881560001400,1369-7412,1467-9868,,
"Journal of the Royal Statistical Society. Series C, Applied statistics.",99157899740001400,0035-9254,1467-9876,,
Journal of the Saudi Heart Association.,99157440860001400,1016-7315,2212-5043,,
Journal of the science of food and agriculture.,99158525680001400,0022-5142,1097-0010,,
Journal of the Society of Pediatric Nurses.,99157823170001400,1088-145X,2162-6405,,
Journal of the South African Veterinary Association.,99157210040001400,0038-2809,1019-9128,,
Journal of the Turkish German Gynecology Association.,99157361960001400,1309-0399,1309-0380,,
Journal of the Turkish Society of Algology A´ﬂrÉ± : AÉ¸rÉ± (Algoloji) DerneÉ¸i'nin YayÉ±n organÉ±dÉ±r .,,1300-0012,,,
Journal of the World Federation of Orthodontists.,99158432750001400,,2212-4438,,
Journal of theoretical biology.,99161967388801400,0022-5193,1095-8541,,
Journal of therapeutic Ultrasound.,99159696050001400,,2050-5736,,
Journal of thermal biology.,99161967379401400,0306-4565,1879-0992,,
Journal of thoracic and cardiovascular surgery.,99157650290001400,0022-5223,1097-685X,,
Journal of thoracic and cardiovascular surgery.,99157650290001400,0022-5223,1097-685X,,
Journal of thoracic disease.,99161958017801400,2072-1439,2077-6624,,
Journal of thoracic imaging.,99158505950001400,0883-5993,1536-0237,,
Journal of thoracic oncology: official publication of the International Association for the Study of Lung Cancer.,99161788481701400,1556-0864,1556-1380,,
Journal of thrombosis and haemostasis: JTH.,99157779980001400,1538-7933,1538-7836,,
Journal of Thrombosis and Thrombolysis.,99158514960001400,0929-5305,1573-742X,,
Journal of Thyroid research.,99157372690001400,2090-8067,2042-0072,,
Journal of tissue engineering.,99157388480001400,,2041-7314,,
Journal of tissue engineering and regenerative medicine.,99158524150001400,1932-6254,1932-7005,,
Journal of tissue viability.,99158434920001400,0965-206X,1876-4746,,
Journal of Tokyo medical University.,99161761727301400,0040-8905,,,
Journal of toxicologic pathology.,99157332620001400,0914-9198,,,
Journal of toxicological Sciences.,99157242690001400,1880-3989,0388-1350,,
Journal of toxicology.,99157364730001400,1687-8191,1687-8205,,
Journal of toxicology and environmental health - Part B: Critical reviews.,99162023174001400,1093-7404,1521-6950,,
Journal of toxicology and environmental health. .,99158513950001400,1528-7394,1087-2620,,
Journal of toxicology. Cutaneous and ocular toxicology.,99157823890001400,0731-3829,1532-2505,,
Journal of toxicology. Toxin reviews.,99157823880001400,0731-3837,1525-6057,,
Journal of trace Elements in medicine and biology.,99161967444301400,0946-672X,1878-3252,,
Journal of traditional Chinese medical Sciences.,99161820332201400,,2095-7548,,
Journal of traditional Chinese medicine.,99161898894301400,0255-2922,,,
Journal of traditional medicines.,99157247920001400,1880-1447,1881-3747,,
Journal of transcultural nursing : official journal of the Transcultural Nursing Society.,99158520110001400,1043-6596,1552-7832,,
Journal of translational medicine.,99157230730001400,,1479-5876,,
journal of trauma and acute care surgery.,99161941803301400,2163-0755,2163-0763,,
Journal of trauma and dissociation., ,1529-9732,1529-9740,,
